Title: Precursors prior to Type IIn supernova explosions are common: 
       precursor rates, properties, and correlations 
Authors: Ofek E.O., Sullivan M., Shaviv N.J., Steinbok A., Arcavi I., 
         Gal-Yam A., Tal D., Kulkarni S.R., Nugent P.E., Ben-Ami S., 
         Kasliwal M.M., Cenko S.B., Laher R., Surace J., Bloom J.S., 
         Filippenko A.V., Silverman J.M., Yaron O. 
Table: SN Observations
================================================================================
Byte-by-byte Description of file: apj496516t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     SN      Supernova identifier
  11- 11 A1     ---     Filter  Filter used in the observation
  13- 22 F10.5  d       Time    Time relative to t_rise
PTF12cxj  R  238.44200 56271.44200 81.517   -1.593 20.874    -64.1    94.0 
PTF12cxj  R  238.47200 56271.47200 24.556    7.042 21.333      9.5    61.6 
PTF12cxj  R  240.41400 56273.41400 21.774    0.528 21.364    123.1    59.9 
PTF12cxj  R  240.44400 56273.44400 21.323    0.375 21.283    186.6    64.5 
PTF12cxj  R  248.41300 56281.41300 82.817   -0.674 20.507   -212.3   131.8 
PTF12cxj  R  248.44400 56281.44400 27.555  178.285 20.824      0.6    98.5 
PTF12cxj  R  264.34100 56297.34100 81.447   -1.010 21.439    -60.1    55.9 
PTF12cxj  R  264.37100 56297.37100 21.463    0.389 21.384    164.0    58.8 
PTF12cxj  R  268.47700 56301.47700 22.226    0.638 21.611     81.2    47.7 
PTF12cxj  R  268.52100 56301.52100 23.048    1.345 21.622     38.1    47.2 
PTF12cxj  R  272.56700 56305.56700 80.637   -1.985 21.515    -28.5    52.1 
PTF12cxj  R  273.36600 56306.36600 82.343   -0.616 21.080   -137.2    77.8 
PTF12cxj  R  289.55500 56322.55500 83.178   -0.578 20.314   -295.9   157.5 
PTF12cxj  R  312.42900 56345.42900 78.851  -11.610 21.384     -5.5    58.8 
PTF12cxj  R  312.46600 56345.46600 81.086   -1.537 21.344    -43.1    61.0 
PTF12cxj  R  312.50300 56345.50300 80.441   -3.012 21.258    -23.8    66.0 
PTF12cxj  R  321.40300 56354.40300 21.566    0.480 21.258    149.2    66.0 
PTF12cxj  R  321.43500 56354.43500 81.800   -1.274 20.834    -83.2    97.6 
PTF12cxj  R  321.46500 56354.46500 22.733    1.156 21.472     50.9    54.2 
PTF12cxj  R  329.35800 56362.35800 23.414    1.916 21.604     27.2    48.0 
PTF12cxj  R  329.38700 56362.38700 22.012    0.646 21.384     98.9    58.8 
PTF12cxj  R  329.41700 56362.41700 24.715    6.423 21.593      8.2    48.5 
PTF12cxj  R  330.33200 56363.33200 25.468   14.489 21.462      4.1    54.7 
PTF12cxj  R  330.36400 56363.36400 80.906   -1.208 21.786    -36.5    40.6 
PTF12cxj  R  330.40900 56363.40900 81.273   -1.041 21.579    -51.2    49.1 
PTF12cxj  R  334.52600 56367.52600 78.449  -38.153 20.493     -3.8   133.5 
PTF12cxj  R  336.40600 56369.40600 22.693    0.825 21.799     52.8    40.1 
PTF12cxj  R  336.43900 56369.43900 21.811    0.337 21.890    119.0    36.9 
PTF12cxj  R  336.47000 56369.47000 23.418    1.651 21.770     27.1    41.2 
PTF12cxj  R  338.21600 56371.21600 81.682   -3.217 19.946    -74.6   221.0 
PTF12cxj  R  338.24600 56371.24600 21.630    1.358 20.195    140.6   175.8 
PTF12cxj  R  338.27500 56371.27500 21.382    0.821 20.493    176.7   133.6 
PTF12cxj  R  339.26000 56372.26000 23.237    3.536 20.763     32.0   104.2 
PTF12cxj  R  339.29000 56372.29000 80.101   -7.209 20.651    -17.4   115.5 
PTF12cxj  R  339.32000 56372.32000 21.107    2.031 19.234    227.7   425.8 
PTF12cxj  R  341.21500 56374.21500 82.210   -0.994 20.694   -121.3   111.0 
PTF12cxj  R  341.24500 56374.24500 21.849    0.857 20.913    114.9    90.7 
PTF12cxj  R  341.27500 56374.27500 80.253   -4.306 21.059    -20.0    79.3 
PTF12cxj  R  343.21500 56376.21500 22.302    1.437 20.805     75.7   100.2 
PTF12cxj  R  343.24500 56376.24500 21.459    0.567 20.972    164.6    85.9 
PTF12cxj  R  343.27500 56376.27500 81.483   -1.716 20.828    -62.1    98.1 
PTF12cxj  R  352.30400 56385.30400 22.759    0.894 21.778     49.7    40.9 
PTF12cxj  R  352.33400 56385.33400 22.130    0.420 21.969     88.7    34.3 
PTF12cxj  R  352.36400 56385.36400 23.230    1.410 21.754     32.2    41.8 
PTF12cxj  R  353.33400 56386.33400 23.348    1.454 21.838     28.9    38.7 
PTF12cxj  R  353.36400 56386.36400 80.017   -2.226 22.011    -16.1    33.0 
PTF12cxj  R  353.39400 56386.39400 82.136   -1.023 20.737   -113.3   106.7 
PTF12cxj  R  354.44200 56387.44200 81.624   -0.820 21.488    -70.7    53.4 
PTF12cxj  R  354.47100 56387.47100 80.578   -2.043 21.543    -27.0    50.8 
PTF12cxj  R  354.50000 56387.50000 82.092   -0.574 21.408   -108.8    57.5 
PTF12cxj  R  359.15800 56392.15800 22.591    1.050 21.435     58.0    56.1 
PTF12cxj  R  359.18700 56392.18700 79.888   -4.663 21.337    -14.3    61.4 
PTF12cxj  R  359.21700 56392.21700 22.095    0.617 21.517     91.6    52.0 
PTF12cxj  R  360.21900 56393.21900 22.968    1.112 21.749     41.0    42.0 
PTF12cxj  R  360.24900 56393.24900 24.045    2.915 21.781     15.2    40.8 
PTF12cxj  R  360.28100 56393.28100 80.602   -1.720 21.706    -27.6    43.7 
PTF12cxj  R  361.28500 56394.28500 21.710    0.378 21.662    130.6    45.5 
PTF12cxj  R  361.31400 56394.31400 23.582    1.878 21.794     23.3    40.3 
PTF12cxj  R  361.34500 56394.34500 22.295    0.459 22.038     76.2    32.2 
PTF12cxj  R  362.25600 56395.25600 24.770    5.653 21.786      7.8    40.6 
PTF12cxj  R  362.28600 56395.28600 23.254    1.224 21.932     31.5    35.5 
PTF12cxj  R  362.31600 56395.31600 22.189    0.383 22.129     84.0    29.6 
PTF12cxj  R  363.39400 56396.39400 22.395    0.836 21.486     69.5    53.5 
PTF12cxj  R  363.42400 56396.42400 21.919    0.518 21.530    107.7    51.4 
PTF12cxj  R  363.45300 56396.45300 79.188   -6.936 21.606     -7.5    47.9 
PTF12cxj  R  367.15700 56400.15700 22.230    0.721 21.482     80.9    53.7 
PTF12cxj  R  367.18700 56400.18700 82.627   -0.290 21.613   -178.2    47.6 
PTF12cxj  R  367.21600 56400.21600 79.680   -4.206 21.657    -11.8    45.7 
PTF12cxj  R  368.15900 56401.15900 21.900    0.535 21.476    109.6    54.0 
PTF12cxj  R  368.18900 56401.18900 80.253   -3.443 21.302    -20.0    63.4 
PTF12cxj  R  368.21800 56401.21800 22.267    0.946 21.224     78.2    68.1 
PTF12cxj  R  369.16000 56402.16000 78.263  -18.292 21.478     -3.2    53.9 
PTF12cxj  R  369.19000 56402.19000 21.753    0.509 21.382    125.6    58.9 
PTF12cxj  R  369.21900 56402.21900 79.716   -5.110 21.410    -12.2    57.4 
PTF12cxj  R  370.15800 56403.15800 21.625    0.497 21.280    141.3    64.7 
PTF12cxj  R  370.18700 56403.18700 22.641    1.333 21.226     55.4    68.0 
PTF12cxj  R  370.21800 56403.21800 24.556    5.396 21.622      9.5    47.2 
PTF12cxj  R  371.16000 56404.16000 23.721    2.824 21.490     20.5    53.3 
PTF12cxj  R  371.19000 56404.19000 21.705    0.612 21.136    131.2    73.9 
PTF12cxj  R  371.22000 56404.22000 21.837    0.540 21.402    116.2    57.8 
PTF12cxj  R  372.32900 56405.32900 22.107    1.073 20.928     90.6    89.5 
PTF12cxj  R  372.35800 56405.35800 81.878   -1.141 20.876    -89.4    93.9 
PTF12cxj  R  372.38800 56405.38800 23.514    4.287 20.830     24.8    97.9 
PTF12cxj  R  379.35600 56412.35600 21.287    0.221 21.821    192.8    39.3 
PTF12cxj  R  379.38700 56412.38700 80.763   -1.520 21.679    -32.0    44.8 
PTF12cxj  R  379.41700 56412.41700 81.423   -1.437 21.080    -58.8    77.8 
PTF12cxj  g -787.44600 55245.55400 24.082    1.950 22.253     14.7    26.4 
PTF12cxj  g -470.42400 55562.57600 82.241   -0.456 21.509   -124.8    52.4 
PTF12cxj  g -469.44700 55563.55300 22.645    0.480 22.339     55.2    24.4 
PTF12cxj  g -466.65900 55566.34100 81.164   -2.580 20.704    -46.3   110.0 
PTF12cxj  g -461.65100 55571.34900 82.024   -1.097 20.773   -102.2   103.2 
PTF12cxj  g -436.43000 55596.57000 22.304    0.960 21.245     75.6    66.8 
PTF12cxj  g -434.74600 55598.25400 22.562    1.219 21.244     59.6    66.9 
PTF12cxj  g -434.70300 55598.29700 22.831    1.854 21.058     46.5    79.4 
PTF12cxj  g -408.56300 55624.43700 24.489    6.871 21.293     10.1    63.9 
PTF12cxj  g -406.82100 55626.17900 82.913   -0.284 21.349   -231.8    60.7 
PTF12cxj  g -404.47900 55628.52100 81.176   -1.713 21.137    -46.8    73.8 
PTF12cxj  g -403.82400 55629.17600 80.044   -5.469 21.008    -16.5    83.1 
PTF12cxj  g -403.78000 55629.22000 22.187    0.715 21.448     84.2    55.4 
PTF12cxj  g -402.82900 55630.17100 82.164   -0.542 21.399   -116.3    58.0 
PTF12cxj  g -401.83700 55631.16300 81.363   -1.668 20.979    -55.6    85.4 
PTF12cxj  g -400.83900 55632.16100 21.484    0.904 20.491    160.8   133.8 
PTF12cxj  g -400.79700 55632.20300 82.524   -0.437 21.272   -162.0    65.2 
PTF12cxj  g -383.84600 55649.15400 81.661   -0.785 21.499    -73.2    52.9 
PTF12cxj  g -383.79300 55649.20700 22.314    0.544 21.872     74.9    37.5 
PTF12cxj  g -382.86100 55650.13900 81.584   -0.791 21.566    -68.2    49.7 
PTF12cxj  g -379.71400 55653.28600 78.769   -5.835 22.213     -5.1    27.4 
PTF12cxj  g -379.67000 55653.33000 81.434   -0.634 21.956    -59.4    34.7 
PTF12cxj  g -378.66600 55654.33400 22.517    0.677 21.838     62.1    38.7 
PTF12cxj  g -377.69500 55655.30500 78.769   -9.689 21.662     -5.1    45.5 
PTF12cxj  g -377.65200 55655.34800 22.486    0.704 21.765     63.9    41.4 
PTF12cxj  g -376.69800 55656.30200 23.838    1.552 22.257     18.4    26.3 
PTF12cxj  g -375.74000 55657.26000 23.786    1.772 22.061     19.3    31.5 
PTF12cxj  g -375.69600 55657.30400 80.857   -1.410 21.667    -34.9    45.3 
PTF12cxj  g -374.68200 55658.31800 22.488    0.517 22.100     63.8    30.4 
PTF12cxj  g -370.53700 55662.46300 21.860    0.468 21.582    113.8    49.0 
PTF12cxj  g -370.49400 55662.50600 82.657   -0.560 20.870   -183.1    94.4 
PTF12cxj  g -347.69400 55685.30600 81.140   -0.475 22.566    -45.3    19.8 
PTF12cxj  g -347.65000 55685.35000 80.879   -0.735 22.352    -35.6    24.1 
PTF12cxj  g -346.68800 55686.31200 78.609   -4.936 22.555     -4.4    20.0 
PTF12cxj  g -345.69100 55687.30900 26.194   12.205 22.375      2.1    23.6 
PTF12cxj  g -345.64600 55687.35400 25.320    5.338 22.398      4.7    23.1 
PTF12cxj  g -344.63200 55688.36800 80.832   -0.825 22.274    -34.1    25.9 
PTF12cxj  g -343.72900 55689.27100 80.894   -1.185 21.818    -36.1    39.4 
PTF12cxj  g -343.68500 55689.31500 79.707   -3.078 21.969    -12.1    34.3 
PTF12cxj  g -320.76900 55712.23100 82.373   -0.142 22.639   -141.0    18.5 
PTF12cxj  g -320.72500 55712.27500 23.963    1.655 22.312     16.4    25.0 
PTF12cxj  g -319.80900 55713.19100 22.345    0.407 22.217     72.8    27.3 
PTF12cxj  g -319.76600 55713.23400 21.821    0.935 20.791    117.9   101.5 
PTF12cxj  g -318.70700 55714.29300 23.100    1.146 21.849     36.3    38.3 
PTF12cxj  g -317.74800 55715.25200 81.775   -0.454 21.978    -81.3    34.0 
PTF12cxj  g -317.70500 55715.29500 79.903   -1.812 22.348    -14.5    24.2 
PTF12cxj  g -317.65400 55715.34600 82.145   -0.265 22.193   -114.3    27.9 
PTF12cxj  g -317.61000 55715.39000 21.934    0.355 21.956    106.3    34.7 
PTF12cxj  g -316.78000 55716.22000 22.270    0.301 22.471     78.0    21.6 
PTF12cxj  g -316.72900 55716.27100 81.048   -0.632 22.348    -41.6    24.2 
PTF12cxj  g -316.68600 55716.31400 23.028    0.845 22.107     38.8    30.2 
PTF12cxj  g -315.77400 55717.22600 80.537   -0.973 22.389    -26.0    23.3 
PTF12cxj  g -315.72300 55717.27700 79.962   -1.625 22.408    -15.3    22.9 
PTF12cxj  g -315.67900 55717.32100 81.616   -0.419 22.225    -70.2    27.1 
PTF12cxj  g -313.67700 55719.32300 80.941   -0.809 22.185    -37.7    28.1 
PTF12cxj  g -313.63300 55719.36700 80.300   -1.710 22.014    -20.9    32.9 
PTF12cxj  g -312.77400 55720.22600 82.005   -0.486 21.674   -100.5    45.0 
PTF12cxj  g -312.72300 55720.27700 80.455   -1.866 21.765    -24.1    41.4 
PTF12cxj  g -312.68000 55720.32000 81.050   -0.883 21.982    -41.7    33.9 
PTF12cxj  g -296.80900 55736.19100 24.457    2.464 22.375     10.4    23.6 
PTF12cxj  g -296.76600 55736.23400 79.955   -1.629 22.412    -15.2    22.8 
PTF12cxj  g -295.79300 55737.20700 24.664    4.533 21.919      8.6    35.9 
PTF12cxj  g -295.74900 55737.25100 22.478    0.491 22.147     64.4    29.1 
PTF12cxj  g -294.81800 55738.18200 80.602   -1.208 22.089    -27.6    30.7 
PTF12cxj  g -294.77300 55738.22700 80.290   -1.616 22.086    -20.7    30.8 
PTF12cxj  g -293.81200 55739.18800 21.612    0.396 21.513    143.0    52.2 
PTF12cxj  g -293.76700 55739.23300 79.926   -1.901 22.274    -14.8    25.9 
PTF12cxj  g -292.82300 55740.17700 81.491   -0.510 22.136    -62.6    29.4 
PTF12cxj  g -292.77100 55740.22900 22.013    0.257 22.384     98.8    23.4 
PTF12cxj  g -291.82300 55741.17700 23.175    1.307 21.781     33.9    40.8 
PTF12cxj  g -291.78000 55741.22000 81.359   -1.068 21.466    -55.4    54.5 
PTF12cxj  g -290.81800 55742.18200 21.083    0.322 21.209    232.7    69.1 
PTF12cxj  g -290.76000 55742.24000 23.737    2.952 21.458     20.2    54.9 
PTF12cxj  g -289.82300 55743.17700 79.553   -3.723 21.916    -10.5    36.0 
PTF12cxj  g -289.77900 55743.22100 23.545    1.081 22.357     24.1    24.0 
PTF12cxj  g -288.82000 55744.18000 78.078  -12.348 22.089     -2.7    30.7 
PTF12cxj  g -288.76600 55744.23400 25.169    6.033 22.114      5.4    30.0 
PTF12cxj  g -287.81900 55745.18100 22.704    1.005 21.595     52.3    48.4 
PTF12cxj  g -287.77600 55745.22400 81.079   -0.804 22.055    -42.8    31.7 
PTF12cxj  g -286.80600 55746.19400 22.934    0.994 21.838     42.3    38.7 
PTF12cxj  g -286.76400 55746.23600 23.314    1.272 21.950     29.8    34.9 
PTF12cxj  g -285.81900 55747.18100 22.744    0.668 22.079     50.4    31.0 
PTF12cxj  g -285.77600 55747.22400 21.467    0.229 21.963    163.4    34.5 
PTF12cxj  g -284.76100 55748.23900 81.271   -1.033 21.591    -51.1    48.6 
PTF12cxj  g -280.74700 55752.25300 81.920   -0.430 21.893    -92.9    36.8 
PTF12cxj  g -280.70300 55752.29700 22.708    1.032 21.571     52.1    49.5 
PTF12cxj  g -256.83800 55776.16200 23.265    1.330 21.852     31.2    38.2 
PTF12cxj  g -256.78900 55776.21100 23.134    1.364 21.694     35.2    44.2 
PTF12cxj  g -255.83900 55777.16100 22.753    1.229 21.425     50.0    56.6 
PTF12cxj  g -255.78100 55777.21900 80.590   -1.599 21.797    -27.3    40.2 
PTF12cxj  g -254.84000 55778.16000 82.597   -0.482 21.092   -173.3    76.9 
PTF12cxj  g -254.79700 55778.20300 81.196   -0.979 21.724    -47.7    43.0 
PTF12cxj  g -175.45700 55857.54300 83.881   -0.446 19.894   -565.3   231.9 
PTF12cxj  g -175.45600 55857.54400 21.630    1.993 19.778    140.6   258.0 
PTF12cxj  g -173.46200 55859.53800 81.652   -1.686 20.677    -72.6   112.7 
PTF12cxj  g -173.46100 55859.53900 82.723   -0.763 20.468   -194.6   136.7 
PTF12cxj  g -171.46700 55861.53300 23.091    2.810 20.866     36.6    94.7 
PTF12cxj  g -171.46600 55861.53400 21.888    0.995 20.790    110.9   101.6 
PTF12cxj  g -170.47100 55862.52900 78.584  -19.093 21.111     -4.3    75.6 
PTF12cxj  g -170.47000 55862.53000 23.764    3.853 21.196     19.7    69.9 
PTF12cxj  g -168.47600 55864.52400 22.427    1.327 21.016     67.5    82.5 
PTF12cxj  g -168.47500 55864.52500 80.082   -6.294 20.817    -17.1    99.1 
PTF12cxj  g -167.48000 55865.52000 81.866   -0.740 21.358    -88.4    60.2 
PTF12cxj  g -167.47900 55865.52100 77.365  -45.612 21.384     -1.4    58.8 
PTF12cxj  g  117.16100 56150.16100 81.670   -0.881 21.364    -73.8    59.9 
PTF12cxj  g  117.21300 56150.21300 81.826   -0.636 21.562    -85.2    49.9 
PTF12cxj  g  117.24300 56150.24300 80.508   -3.378 21.067    -25.3    78.7 
PTF12cxj  g  120.15400 56153.15400 81.736   -0.513 21.887    -78.4    37.0 
PTF12cxj  g  120.18300 56153.18300 23.892    1.291 22.512     17.5    20.8 
PTF12cxj  g  120.21400 56153.21400 22.757    0.661 22.104     49.8    30.3 
PTF12cxj  g  121.15300 56154.15300 22.708    1.286 21.331     52.1    61.7 
PTF12cxj  g  121.21600 56154.21600 21.596    0.375 21.558    145.1    50.1 
PTF12cxj  g  125.15600 56158.15600 22.409    0.521 22.014     68.6    32.9 
PTF12cxj  g  126.16300 56159.16300 81.081   -0.737 22.147    -42.9    29.1 
PTF12cxj  g  209.49500 56242.49500 22.555    1.363 21.115     60.0    75.3 
PTF12cxj  g  209.52900 56242.52900 79.858   -4.742 21.349    -13.9    60.7 
PTF12cxj  g  210.48700 56243.48700 23.563    3.753 21.024     23.7    81.9 
PTF12cxj  g  210.51700 56243.51700 21.899    0.772 21.077    109.7    78.0 
PTF12cxj  g  211.48800 56244.48800 21.530    0.608 20.967    154.1    86.3 
PTF12cxj  g  211.53100 56244.53100 23.103    2.127 21.181     36.2    70.9 
PTF12cxj  g  212.49400 56245.49400 21.264    0.546 20.818    196.9    99.0 
PTF12cxj  g  212.52400 56245.52400 21.768    1.234 20.436    123.8   140.7 
PTF12cxj  g  217.46800 56250.46800 23.963    4.198 21.302     16.4    63.4 
PTF12cxj  g  217.52900 56250.52900 82.038   -0.439 21.752   -103.6    41.9 
PTF13ast  R  -59.59100 56354.40900 78.657  -13.363 21.425     -4.6    56.6 
PTF13ast  R  -59.56100 56354.43900 81.376   -1.194 21.328    -56.3    61.9 
PTF13ast  R  -59.53100 56354.46900 81.123   -0.726 22.122    -44.6    29.8 
PTF13ast  R  -57.52700 56356.47300 80.602   -1.904 21.595    -27.6    48.4 
PTF13ast  R  -57.49700 56356.50300 82.484   -1.244 20.176   -156.2   178.9 
PTF13ast  R  -51.64900 56362.35100 22.314    0.741 21.536     74.9    51.1 
PTF13ast  R  -51.61900 56362.38100 80.598   -1.564 21.813    -27.5    39.6 
PTF13ast  R  -51.59000 56362.41000 23.769    1.790 22.034     19.6    32.3 
PTF13ast  R  -50.67700 56363.32300 80.809   -1.304 21.799    -33.4    40.1 
PTF13ast  R  -50.64800 56363.35200 23.970    2.638 21.813     16.3    39.6 
PTF13ast  R  -50.61600 56363.38400 23.146    1.017 22.024     34.8    32.6 
PTF13ast  R  -46.47800 56367.52200 22.737    4.046 20.117     50.7   188.9 
PTF13ast  R  -45.66800 56368.33200 81.783   -0.496 21.875    -81.9    37.4 
PTF13ast  R  -45.63800 56368.36200 80.582   -1.234 22.086    -27.1    30.8 
PTF13ast  R  -45.60800 56368.39200 79.990   -2.297 22.004    -15.7    33.2 
PTF13ast  R  -44.67000 56369.33000 80.306   -1.831 21.935    -21.0    35.4 
PTF13ast  R  -44.64000 56369.36000 81.388   -0.592 22.079    -56.9    31.0 
PTF13ast  R  -44.61000 56369.39000 24.756   13.238 20.848      7.9    96.3 
PTF13ast  R  -43.53300 56370.46700 25.231    7.666 21.916      5.1    36.0 
PTF13ast  R  -43.50400 56370.49600 81.532   -1.813 20.719    -65.0   108.5 
PTF13ast  R  -43.47500 56370.52500 81.327   -1.399 21.205    -53.8    69.3 
PTF13ast  R  -41.65000 56372.35000 22.116    1.232 20.786     89.9   102.0 
PTF13ast  R  -41.62000 56372.38000 80.978   -5.082 20.154    -39.0   182.5 
PTF13ast  R  -41.59000 56372.41000 81.521   -2.137 20.552    -64.3   126.5 
PTF13ast  R  -39.66400 56374.33600 23.471    2.462 21.389     25.8    58.5 
PTF13ast  R  -39.63400 56374.36600 80.144   -3.474 21.401    -18.1    57.9 
PTF13ast  R  -39.60400 56374.39600 80.144   -2.628 21.704    -18.1    43.8 
PTF13ast  R  -38.51900 56375.48100 77.995  -17.072 21.821     -2.5    39.3 
PTF13ast  R  -38.48500 56375.51500 80.010   -1.968 22.151    -16.0    29.0 
PTF13ast  R  -37.68900 56376.31100 21.890    0.633 21.283    110.7    64.5 
PTF13ast  R  -37.66000 56376.34000 81.390   -1.099 21.404    -57.0    57.7 
PTF13ast  R  -37.63000 56376.37000 80.696   -1.873 21.519    -30.1    51.9 
PTF13ast  R  -31.68700 56382.31300 79.032   -6.850 21.775     -6.5    41.0 
PTF13ast  R  -31.64200 56382.35800 81.576   -0.743 21.643    -67.7    46.3 
PTF13ast  R  -31.61200 56382.38800 24.827    7.030 21.606      7.4    47.9 
PTF13ast  R  -28.70500 56385.29500 81.349   -0.936 21.620    -54.9    47.3 
PTF13ast  R  -28.67500 56385.32500 23.155    0.957 22.100     34.5    30.4 
PTF13ast  R  -28.64500 56385.35500 25.091    8.426 21.674      5.8    45.0 
PTF13ast  R  -27.67700 56386.32300 81.390   -0.425 22.436    -57.0    22.3 
PTF13ast  R  -27.61800 56386.38200 80.037   -2.841 21.726    -16.4    42.9 
PTF13ast  R  -26.59600 56387.40400 23.970    2.079 22.072     16.3    31.2 
PTF13ast  R  -26.56700 56387.43300 26.362   20.332 21.988      1.8    33.7 
PTF13ast  R  -26.53700 56387.46300 80.614   -1.530 21.821    -27.9    39.3 
PTF13ast  R  -25.51500 56388.48500 78.558   -8.843 21.972     -4.2    34.2 
PTF13ast  R  -25.48500 56388.51500 81.194   -0.976 21.729    -47.6    42.8 
PTF13ast  R  -24.55400 56389.44600 80.269   -2.536 21.618    -20.3    47.4 
PTF13ast  R  -24.52400 56389.47600 80.010   -3.020 21.686    -16.0    44.5 
PTF13ast  R  -24.49400 56389.50600 24.302    5.548 21.339     12.0    61.3 
PTF13ast  R  -23.55600 56390.44400 27.114   64.557 21.486      0.9    53.5 
PTF13ast  R  -21.75000 56392.25000 23.394    1.643 21.752     27.7    41.9 
PTF13ast  R  -21.72000 56392.28000 79.661   -4.241 21.667    -11.6    45.3 
PTF13ast  R  -21.69000 56392.31000 81.050   -0.966 21.884    -41.7    37.1 
PTF13ast  R  -19.75600 56394.24400 21.665    2.261 19.677    136.1   283.3 
PTF13ast  R  -19.72700 56394.27300 22.507    0.530 22.093     62.7    30.6 
PTF13ast  R  -19.69700 56394.30300 78.831   -6.375 22.055     -5.4    31.7 
PTF13ast  R  -18.74800 56395.25200 81.628   -0.488 22.048    -71.0    31.9 
PTF13ast  R  -18.71800 56395.28200 81.961   -0.376 21.998    -96.5    33.4 
PTF13ast  R  -18.68800 56395.31200 81.056   -0.824 22.051    -41.9    31.8 
PTF13ast  R  -17.73000 56396.27000 24.770    3.968 22.170      7.8    28.5 
PTF13ast  R  -17.69700 56396.30300 79.680   -2.825 22.089    -11.8    30.7 
PTF13ast  R  -17.66700 56396.33300 23.314    0.958 22.257     29.8    26.3 
PTF13ast  R  -14.63200 56399.36800 81.854   -0.631 21.543    -87.4    50.8 
PTF13ast  R  -14.58700 56399.41300 81.812   -0.457 21.935    -84.1    35.4 
PTF13ast  R  -14.55700 56399.44300 23.710    2.041 21.832     20.7    38.9 
PTF13ast  R  -13.58300 56400.41700 24.406    4.862 21.586     10.9    48.8 
PTF13ast  R  -13.55300 56400.44700 81.534   -0.831 21.564    -65.1    49.8 
PTF13ast  R  -13.52400 56400.47600 81.425   -0.974 21.501    -58.9    52.8 
PTF13ast  R  -12.58500 56401.41500 80.533   -1.380 22.014    -25.9    32.9 
PTF13ast  R  -12.55600 56401.44400 79.032   -6.833 21.778     -6.5    40.9 
PTF13ast  R  -12.52600 56401.47400 80.437   -1.608 21.944    -23.7    35.1 
PTF13ast  R  -11.57100 56402.42900 81.176   -0.970 21.754    -46.8    41.8 
PTF13ast  R  -11.54100 56402.45900 81.399   -0.810 21.726    -57.5    42.9 
PTF13ast  R  -11.51100 56402.48900 76.613  -75.865 21.584     -0.7    48.9 
PTF13ast  R  -10.57200 56403.42800 81.199   -0.791 21.953    -47.8    34.8 
PTF13ast  R  -10.54300 56403.45700 24.770    4.984 21.922      7.8    35.8 
PTF13ast  R  -10.51300 56403.48700 81.247   -0.645 22.125    -50.0    29.7 
PTF13ast  R   -9.56700 56404.43300 23.359    1.432 21.866     28.6    37.7 
PTF13ast  R   -9.53700 56404.46300 23.943    2.276 21.947     16.7    35.0 
PTF13ast  R   -9.50700 56404.49300 81.696   -0.444 22.082    -75.6    30.9 
PTF13ast  R   -8.58800 56405.41200 21.669    1.020 20.544    135.7   127.4 
PTF13ast  R   -8.55500 56405.44500 82.565   -0.608 20.871   -168.3    94.3 
PTF13ast  R   -8.52500 56405.47500 79.113  -12.101 21.077     -7.0    78.0 
PTF13ast  R   -1.82500 56412.17500 81.339   -0.797 21.805    -54.4    39.9 
PTF13ast  R   -1.79600 56412.20400 79.661   -3.623 21.838    -11.6    38.7 
PTF13ast  R   -1.76600 56412.23400 80.891   -0.947 22.065    -36.0    31.4 
PTF13ast  R   -0.82000 56413.18000 81.126   -0.821 21.985    -44.7    33.8 
PTF13ast  R   -0.79100 56413.20900 80.295   -1.702 22.024    -20.8    32.6 
PTF13ast  R   -0.76100 56413.23900 22.566    0.770 21.746     59.4    42.1 
PTF13ast  R    1.17600 56415.17600 20.158    0.143 21.170    545.4    71.6 
PTF13ast  R    1.38800 56415.38800 19.511    0.057 21.513    989.7    52.2 
PTF13ast  R    1.41800 56415.41800 19.434    0.056 21.464   1062.5    54.6 
SN2011cc  R -420.50600 55203.49400 83.474   -0.256 20.904   -388.6    91.5 
SN2011cc  R -379.50900 55244.49100 80.652   -3.059 21.031    -28.9    81.4 
SN2011cc  R -379.46500 55244.53500 81.230   -1.717 21.080    -49.2    77.8 
SN2011cc  R -372.44900 55251.55100 83.195   -0.340 20.873   -300.6    94.1 
SN2011cc  R -310.52400 55313.47600 22.406    1.687 20.735     68.8   106.9 
SN2011cc  R -276.51500 55347.48500 20.833    0.551 20.376    293.0   148.7 
SN2011cc  R -275.53100 55348.46900 20.364    0.308 20.538    451.2   128.1 
SN2011cc  R -274.51800 55349.48200 21.301    0.625 20.709    190.3   109.5 
SN2011cc  R -270.52900 55353.47100 81.993   -1.085 20.815    -99.4    99.3 
SN2011cc  R -268.58900 55355.41100 21.835    0.604 21.280    116.4    64.7 
SN2011cc  R -268.53900 55355.46100 82.374   -0.622 21.039   -141.1    80.8 
SN2011cc  R -266.57100 55357.42900 18.869    0.148 19.844   1787.9   242.9 
SN2011cc  R -266.52700 55357.47300 82.815   -0.515 20.803   -211.8   100.4 
SN2011cc  R -263.55600 55360.44400 22.551    1.441 21.051     60.2    79.9 
SN2011cc  R -259.80800 55364.19200 20.989    0.338 21.062    253.8    79.1 
SN2011cc  R -259.76400 55364.23600 82.304   -0.632 21.091   -132.3    77.0 
